Latitude,Longitude,Elevation
47.82650000,-123.068850,979.0
47.82649000,-123.068680,982.0
47.82649000,-123.068430,984.0
47.82649000,-123.068140,983.0
47.82650000,-123.067980,981.0
47.82650000,-123.067850,979.0
47.82647000,-123.067590,974.0
47.82646000,-123.067330,970.0
47.82638000,-123.067060,965.0
47.82636000,-123.066870,964.0
47.82631000,-123.066660,962.0
47.82629000,-123.066480,960.0
47.82628000,-123.066210,958.0
47.82631000,-123.066080,956.0
47.82635000,-123.065840,954.0
47.82636000,-123.065640,950.0
47.82635000,-123.065330,945.0
47.82639000,-123.064950,943.0
47.82635000,-123.064790,942.0
47.82636000,-123.064420,939.0
47.82639000,-123.064240,935.0
47.82647000,-123.064100,935.0
47.82658000,-123.063930,934.0
47.82670000,-123.063630,930.0
47.82684000,-123.063160,927.0
47.82693000,-123.062970,928.0
47.82697000,-123.062780,929.0
47.82695000,-123.062530,929.0
47.82699000,-123.062170,927.0
47.82700000,-123.061910,922.0
47.82701000,-123.061800,921.0
47.82702000,-123.061410,915.0
47.82703000,-123.061270,914.0
47.82702000,-123.060850,911.0
47.82703000,-123.060550,913.0
47.82701000,-123.059980,913.0
47.82693000,-123.059430,908.0
47.82691000,-123.059070,908.0
47.82690000,-123.058930,907.0
47.82693000,-123.058630,905.0
47.82697000,-123.058440,904.0
47.82705000,-123.058220,903.0
47.82720000,-123.058050,901.0
47.82725000,-123.057900,900.0
47.82728000,-123.057690,898.0
47.82734000,-123.057410,893.0
47.82744000,-123.057320,890.0
47.82747000,-123.057090,886.0
47.82748000,-123.056810,883.0
47.82747000,-123.056640,882.0
47.82746000,-123.056530,881.0
47.82750000,-123.056380,879.0
47.82755000,-123.056280,878.0
47.82760000,-123.056140,876.0
47.82772000,-123.056030,875.0
47.82786000,-123.056060,878.0
47.82793000,-123.055930,879.0
47.82787000,-123.055810,875.0
47.82792000,-123.055540,875.0
47.82799000,-123.055160,874.0
47.82802000,-123.054950,873.0
47.82809000,-123.054620,871.0
47.82830000,-123.054210,869.0
47.82834000,-123.054060,868.0
